       X(m)            Y(m)              Y(m)         
   -1132914.4555    6092528.6948    1504632.8855
   -1132914.6942    6092528.0638    1504632.6884
   -1132914.9962    6092527.9420    1504632.4417
   -1132915.2191    6092528.1624    1504632.5075
   -1132915.2337    6092528.1791    1504632.6183
   -1132915.2122    6092528.0649    1504632.6924
   -1132915.2143    6092528.1298    1504632.6830
   -1132915.2355    6092527.9557    1504632.6629
   -1132915.2746    6092528.1154    1504632.6117
   -1132915.3669    6092528.4045    1504632.6220
   -1132915.3506    6092528.4425    1504632.6409
   -1132915.3534    6092528.4791    1504632.6458
   -1132915.4027    6092528.4524    1504632.6866
   -1132915.3697    6092528.5146    1504632.7081
   -1132915.4450    6092528.6326    1504632.6963
   -1132915.3957    6092528.6005    1504632.6865
   -1132915.3510    6092528.6830    1504632.7015
   -1132915.2947    6092528.6717    1504632.6747
   -1132915.3210    6092528.6666    1504632.6949
   -1132915.3047    6092528.6462    1504632.6731
   -1132915.2627    6092528.6191    1504632.6911
   -1132915.2074    6092528.5817    1504632.7225
   -1132915.1896    6092528.4820    1504632.7862
   -1132915.1573    6092528.5049    1504632.7605
   -1132915.1541    6092528.5714    1504632.7758
   -1132915.1716    6092528.6123    1504632.7900
   -1132915.1266    6092528.7030    1504632.7789
   -1132915.1651    6092528.6776    1504632.8080
   -1132915.1180    6092528.7002    1504632.8231
   -1132915.1499    6092528.9788    1504632.7134
   -1132915.1700    6092528.9189    1504632.7246
   -1132915.1447    6092528.8914    1504632.7297
   -1132915.1279    6092528.8909    1504632.6964
   -1132915.1502    6092528.8862    1504632.7228
   -1132915.1448    6092528.8452    1504632.7093
   -1132915.1598    6092528.9680    1504632.6633
   -1132915.1372    6092528.7041    1504632.7905
   -1132915.1316    6092528.6716    1504632.8042
   -1132915.1417    6092528.5954    1504632.8265
   -1132915.1513    6092528.6079    1504632.8502
   -1132915.1401    6092528.5744    1504632.8898
   -1132915.1443    6092528.5908    1504632.8801
   -1132915.1563    6092528.6103    1504632.8985
   -1132915.1350    6092528.5994    1504632.9124
   -1132915.1368    6092528.5825    1504632.9120
   -1132915.1148    6092528.5372    1504632.9279
   -1132915.1239    6092528.4996    1504632.9281
   -1132915.0887    6092528.4611    1504632.9184
   -1132915.0933    6092528.4327    1504632.9179
   -1132915.1102    6092528.4444    1504632.9271
   -1132915.1142    6092528.4712    1504632.9137
   -1132915.1208    6092528.4826    1504632.9075
   -1132915.1670    6092528.6231    1504632.8018
   -1132915.1824    6092528.5846    1504632.8086
   -1132915.1878    6092528.5983    1504632.7995
   -1132915.1792    6092528.6358    1504632.8063
   -1132915.1772    6092528.6445    1504632.8122
   -1132915.1783    6092528.6660    1504632.8101
   -1132915.1854    6092528.6967    1504632.8159
   -1132915.1877    6092528.7230    1504632.8174
   -1132915.2048    6092528.7848    1504632.8170
   -1132915.0010    6092528.5730    1504632.7566
   -1132914.9995    6092528.5777    1504632.7455
   -1132914.9752    6092528.5890    1504632.7415
   -1132914.9640    6092528.6032    1504632.7330
   -1132914.8842    6092528.3857    1504632.8941
   -1132914.8793    6092528.4034    1504632.8886
   -1132914.8778    6092528.4534    1504632.8767
   -1132914.8980    6092528.4778    1504632.8535
   -1132914.9104    6092528.4940    1504632.8433
   -1132914.9274    6092528.4987    1504632.8295
   -1132914.9363    6092528.5473    1504632.8292
   -1132914.9426    6092528.6104    1504632.8271
   -1132914.9381    6092528.6375    1504632.8190
   -1132914.9434    6092528.6802    1504632.8240
   -1132914.9288    6092528.7176    1504632.8117
   -1132914.9317    6092528.7306    1504632.8128
   -1132914.9219    6092528.7265    1504632.8203
   -1132914.9430    6092528.8604    1504632.7439
   -1132914.9580    6092528.8839    1504632.7293
   -1132914.9637    6092528.9241    1504632.7307
   -1132914.9277    6092528.7209    1504632.8427
   -1132914.9577    6092528.8830    1504632.7723
   -1132914.9500    6092528.9072    1504632.8071
   -1132914.9502    6092528.8416    1504632.8553
   -1132914.9535    6092528.9087    1504632.8403
   -1132914.9464    6092528.9069    1504632.8578
   -1132914.9532    6092528.9012    1504632.8671
   -1132914.9634    6092528.9569    1504632.8618
   -1132914.9588    6092528.9691    1504632.8680
   -1132914.9587    6092528.9649    1504632.8732
   -1132914.9693    6092528.9967    1504632.8547
   -1132914.9670    6092528.9826    1504632.8511
   -1132914.9660    6092528.9705    1504632.8749
   -1132914.9515    6092528.9815    1504632.8509
   -1132914.9589    6092528.9980    1504632.8601
   -1132914.9673    6092528.9971    1504632.8779
   -1132914.9657    6092529.0405    1504632.8645
   -1132914.9780    6092529.0343    1504632.8700
   -1132914.9704    6092529.2221    1504632.7851
   -1132914.9645    6092529.2305    1504632.7756
   -1132914.9802    6092529.2297    1504632.7792
   -1132914.9855    6092529.2227    1504632.7906
   -1132914.9761    6092529.2021    1504632.8007
   -1132914.9774    6092528.9990    1504632.9081
   -1132914.9739    6092529.0426    1504632.8806
   -1132914.9592    6092529.1350    1504632.8296
   -1132914.9638    6092529.0629    1504632.8652
   -1132914.9574    6092529.0436    1504632.8743
   -1132914.9376    6092529.0437    1504632.8644
   -1132914.9335    6092529.0768    1504632.8598
   -1132914.9250    6092529.0818    1504632.8653
   -1132914.9019    6092529.1065    1504632.8509
   -1132914.9049    6092529.1181    1504632.8532
   -1132914.8951    6092529.0908    1504632.8551
   -1132914.8890    6092529.0972    1504632.8425
   -1132914.8863    6092529.0873    1504632.8405
   -1132914.8870    6092529.1128    1504632.8400
   -1132914.8723    6092529.1414    1504632.8241
   -1132914.8759    6092529.1314    1504632.8318
   -1132914.8714    6092529.1329    1504632.8304
   -1132914.8706    6092529.1155    1504632.8440
   -1132914.9017    6092529.2358    1504632.7811
   -1132914.8870    6092529.2352    1504632.7818
   -1132914.9047    6092529.3138    1504632.7312
   -1132914.8673    6092529.1838    1504632.8111
   -1132914.8611    6092529.1729    1504632.7922
   -1132914.8151    6092529.0550    1504632.8802
