       X(m)            Y(m)              Y(m)         
   -1132914.8743    6092529.0379    1504633.3105
   -1132915.2101    6092529.2733    1504633.2717
   -1132915.3490    6092529.7812    1504633.1945
   -1132915.5735    6092530.0491    1504633.2672
   -1132915.5430    6092529.9642    1504633.3842
   -1132915.4493    6092529.9200    1504633.4421
   -1132915.5302    6092529.8589    1504633.4031
   -1132915.5572    6092529.6557    1504633.3719
   -1132915.5960    6092529.6402    1504633.2984
   -1132915.6822    6092529.8124    1504633.2947
   -1132915.6476    6092529.7717    1504633.2931
   -1132915.6618    6092529.8492    1504633.3209
   -1132915.6712    6092529.8707    1504633.3233
   -1132915.6694    6092529.8541    1504633.3497
   -1132915.7423    6092530.0018    1504633.3281
   -1132915.6872    6092529.9914    1504633.3217
   -1132915.6479    6092530.0403    1504633.3279
   -1132915.6145    6092530.0712    1504633.3235
   -1132915.6367    6092530.1449    1504633.3444
   -1132915.6180    6092530.1417    1504633.3226
   -1132915.5938    6092530.0718    1504633.3269
   -1132915.5493    6092530.0053    1504633.3576
   -1132915.5425    6092529.9370    1504633.4208
   -1132915.5223    6092529.9400    1504633.3979
   -1132915.5059    6092530.0041    1504633.3991
   -1132915.5205    6092530.0647    1504633.4107
   -1132915.4824    6092530.1216    1504633.3980
   -1132915.5082    6092530.1332    1504633.4257
   -1132915.4755    6092530.1609    1504633.4563
   -1132915.4164    6092530.1054    1504633.2704
   -1132915.4398    6092530.0779    1504633.2897
   -1132915.4204    6092530.0597    1504633.3083
   -1132915.4230    6092530.0654    1504633.2937
   -1132915.4426    6092530.0822    1504633.3176
   -1132915.4373    6092530.0666    1504633.3148
   -1132915.4080    6092530.0226    1504633.1257
   -1132915.5095    6092530.1776    1504633.4297
   -1132915.5080    6092530.1544    1504633.4458
   -1132915.5118    6092530.1511    1504633.4774
   -1132915.5388    6092530.2008    1504633.5158
   -1132915.5577    6092530.2069    1504633.5794
   -1132915.5383    6092530.1813    1504633.5476
   -1132915.5538    6092530.1967    1504633.5639
   -1132915.5510    6092530.1740    1504633.5795
   -1132915.5507    6092530.1846    1504633.5865
   -1132915.5566    6092530.2179    1504633.6312
   -1132915.5747    6092530.2178    1504633.6452
   -1132915.5642    6092530.2398    1504633.6640
   -1132915.5743    6092530.2515    1504633.6754
   -1132915.5789    6092530.2631    1504633.6711
   -1132915.5807    6092530.2519    1504633.6443
   -1132915.5849    6092530.2536    1504633.6344
   -1132915.5690    6092530.1218    1504633.5091
   -1132915.5773    6092530.1066    1504633.5128
   -1132915.5816    6092530.0901    1504633.4978
   -1132915.5787    6092530.1465    1504633.5090
